ID	Name	ID	Buy Vol	Buy Avg	Buy Max	Buy Min	Buy StdDev	Buy Median	Buy Percentile	Sell Vol	Sell Avg	Sell Max	Sell Min	Sell StdDev	Sell Median	Sell Percentile							30002510
2360	Industrial Explosives	2360	3,000.00	34,333.37	51,000.09	1,000.01	23,570.24	51,000.00	51,000.09	87.00	89,999.03	90,000.00	89,999.00	0.50	89,999.50	89,999.00							
2361	Hermetic Membranes	2361	100,750.00	853.12	123,001.00	2.00	50,985.03	2.00	853.12	1,878.00	299,988.99	299,988.99	299,988.99	0.00	299,988.99	299,988.99							
2366	Hazmat Detection Systems	2366	8,000.00	41,500.27	47,502.00	1,000.01	19,928.30	46,750.02	47,502.00	358.00	199,999.00	199,999.00	199,999.00	0.00	199,999.00	199,999.00							
2367	Cryoprotectant Solution	2367	15,732.00	105,835.71	125,000.01	87,005.15	13,649.02	100,000.01	125,000.01	921.00	139,387.62	140,000.00	138,000.00	1,000.00	140,000.00	138,000.00							
2368	Broken Organic Mortar Applicators	2368	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2369	Broken Sterile Conduits	2369	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2371	Broken Nano-Factory	2371	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2373	Broken Self-Harmonizing Power Core	2373	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2374	Broken Recursive Computing Module	2374	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2375	Broken Broadcast Node	2375	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2376	Broken Integrity Response Drones	2376	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
2377	Broken Wetware Mainframe	2377	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00							
